producto,marca,formato,cantidad,precio,supermercado
Fideo cabello de ángel,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Fideuá,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Fideo grueso,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Pasta estrellas,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Pasta maravilla,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Fideo mediano,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Fideo al huevo,Hacendado,Paquete,500 g,"1,35 €",Mercadona
Pasta infantil con vegetales,Hacendado,Paquete,500 g,"1,20 €",Mercadona
Sémola de trigo,Hacendado,Paquete,500 g,"1,60 €",Mercadona
Tapioca,Tipiak,Caja,225 g,"1,90 €",Mercadona
Pasta estrellas sin gluten,Felicia,Paquete,500 g,"1,95 €",Mercadona
Pajaritas vegetales,Hacendado,Paquete,500 g,"1,10 €",Mercadona
Pasta penne integral,Hacendado,Paquete,500 g,"1,20 €",Mercadona
Pasta tortiglioni,Armando,Paquete,500 g,"1,24 €",Mercadona
Hélices con vegetales,Hacendado,Paquete,1 kg,"1,60 €",Mercadona
Macarrón fino,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Macarrón al huevo,Hacendado,Paquete,500 g,"1,35 €",Mercadona
Macarrón,Hacendado,Paquete,1 kg,"1,30 €",Mercadona
Macarrón rayado,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Pasta penne,Armando,Paquete,500 g,"1,24 €",Mercadona
Pasta fusilli 100% lentejas rojas,Felicia,Paquete,250 g,"1,58 €",Mercadona
Pasta trottole vegetales,Hacendado,Paquete,500 g,"1,20 €",Mercadona
Pasta fusilli,Armando,Paquete,500 g,"1,24 €",Mercadona
Pasta tiburón,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Hélices,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Macarrón,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Pasta fusilli sin gluten,Felicia,Paquete,500 g,"1,95 €",Mercadona
Pasta corallini integral,Hacendado,Paquete,500 g,"1,20 €",Mercadona
Tallarines,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Spaghetti integral,Hacendado,Paquete,500 g,"1,20 €",Mercadona
Spaghetti fino,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Nidos al huevo,Hacendado,Paquete,500 g,"1,35 €",Mercadona
Spaghetti al huevo,Hacendado,Paquete,500 g,"1,35 €",Mercadona
Spaghetti,Hacendado,Paquete,1 kg,"1,30 €",Mercadona
Spaghetti,Hacendado,Paquete,500 g,"0,82 €",Mercadona
Spaghetti sin gluten,Felicia,Paquete,500 g,"1,95 €",Mercadona
Pasta fresca tagliatelle al huevo,Hacendado,Paquete,250 g,"1,15 €",Mercadona
Spaghetti,Armando,Paquete,500 g,"1,24 €",Mercadona
Tortellini carne,Pagani,Paquete,250 g,"1,35 €",Mercadona
Pasta fresca tortellini carne,Hacendado,Bandeja,250 g,"1,72 €",Mercadona
Pasta fresca ravioli ricotta y espinacas,Hacendado,Bandeja,250 g,"1,72 €",Mercadona
Tortellini tres quesos,Pagani,Paquete,250 g,"1,35 €",Mercadona
Pasta fresca gnocchi,Hacendado,Paquete,500 g,"1,12 €",Mercadona
Pasta fresca triángulo setas y mascarpone,Hacendado,Bandeja,250 g,"2,24 €",Mercadona
Pasta fresca girasoles quesos,Hacendado,Bandeja,250 g,"1,72 €",Mercadona
Pasta fresca medialunas parmigiano reggiano y trufa,Hacendado,Bandeja,250 g,"2,48 €",Mercadona
Pasta fresca medialunas calabaza y crema de quesos,Hacendado,Bandeja,250 g,"2,24 €",Mercadona
Pasta fresca tortellini jamón y queso,Hacendado,Paquete,250 g,"1,72 €",Mercadona
Pasta fresca gnocchi quesos,Hacendado,Paquete,400 g,"2,00 €",Mercadona
Pasta fresca girasoles queso de cabra y cebolla caramelizada,Hacendado,Bandeja,250 g,"2,24 €",Mercadona
Pasta fresca ravioli tomate y queso burrata,Hacendado,Bandeja,250 g,"2,24 €",Mercadona
Placas para lasaña precocidas,El Pavo,Caja,18 placas (200 g),"1,43 €",Mercadona
Fideos orientales Yakisoba classic,Gallina Blanca,Vaso,93 g,"1,95 €",Mercadona
Fideos orientales Yatekomo sabor pollo,Gallina Blanca,Vaso,3 vasos x 60 g,"3,95 €",Mercadona
Fideos orientales Yatekomo sabor pollo,Gallina Blanca,Vaso,60 g,"1,55 €",Mercadona
Pasta oriental sabor pollo,Maggi,Paquete,71 g,"0,75 €",Mercadona
Fideos orientales Yakisoba sabor soja,Hacendado,Vaso,80 g,"1,30 €",Mercadona
Fideos orientales Yakisoba sabor soja,Hacendado,Paquete,90 g,"0,90 €",Mercadona
Fideos orientales sabor pollo,Hacendado,Vaso,65 g,"0,85 €",Mercadona
Fideos orientales sabor picante,Hacendado,Vaso,65 g,"1,00 €",Mercadona
