producto,marca,formato,cantidad,precio,supermercado
Refresco de naranja,Fanta,Lata,9 x 33 cl,"6,57 €",Dia
Refresco de naranja,Fanta,Botella,2 x 2 l,"3,50 €",Dia
Refresco de naranja zero,Upss,Botella,2 l,"0,95 €",Dia
Refresco de naranja zero,Fanta,Botella,2 l,"1,79 €",Dia
Refresco de naranja zero,Fanta,Lata,33 cl,"0,75 €",Dia
Refresco de naranja,Upss,Lata,33 cl,"0,38 €",Dia
Refresco de naranja,Upss,Botella,2 l,"0,95 €",Dia
Refresco de naranja sin gas,Upss,Botella,1.5 l,"0,79 €",Dia
Refresco de naranja,Fanta,Lata,33 cl,"0,66 €",Dia
Refresco de naranja,Fanta,Botella,2 l,"1,79 €",Dia
Refresco de naranja zero,Kas,Lata,33 cl,"0,70 €",Dia
Zumo de naranja,Simon Life,Botella,1.5 l,"1,85 €",Dia
Refresco de naranja sin gas,Upss,Lata,33 cl,"0,49 €",Dia
Refresco de naranja zero,Kas,Botella,2 l,"1,79 €",Dia
Zumo naranja exprimido sin pulpa,Zumosfera,Botella,1 l,"1,90 €",Dia
Refresco en polvo sabor naranja,Tang,Bolsa,30 g,"0,83 €",Dia
Zumo de naranja con pulpa,Don Simón,Botella,1 l,"3,25 €",Dia
Refresco de naranja,Fanta,Botella,50 cl,"1,45 €",Dia
Refresco naranja zero,Schweppes,Lata,33 cl,"0,95 €",Dia
