producto,marca,formato,cantidad,precio,supermercado
Gazpacho tradicional,Hacendado,Pack,3 mini bricks x 330 ml,"2,15 €",Mercadona
Gazpacho tradicional,Hacendado,Botella,1 L,"1,70 €",Mercadona
Salmorejo al estilo cordobés,Hacendado,Pack,3 mini bricks x 330 ml,"2,65 €",Mercadona
Salmorejo al estilo cordobés,Hacendado,Brick,1 L,"2,15 €",Mercadona
Gazpacho fresco,Hacendado,Botella,1 L,"2,85 €",Mercadona
Gazpacho fresco,Hacendado,Botella,330 ml,"1,15 €",Mercadona
Salmorejo fresco,Hacendado,Botella,1 L,"3,15 €",Mercadona
Salmorejo fresco,Hacendado,Botella,330 ml,"1,25 €",Mercadona
Gazpacho blanco de almendras  con ajo blanco,Hacendado,Pack,3 mini bricks x 330 ml,"3,20 €",Mercadona
Ensaladilla de cangrejo,Hacendado,Tarrina,250 g,"1,80 €",Mercadona
Ensaladilla rusa,Hacendado,Tarrina,500 g,"3,00 €",Mercadona
Ensaladilla rusa,Hacendado,Tarrina,250 g,"1,80 €",Mercadona
Ensaladilla americana,Hacendado,Tarrina,250 g,"1,50 €",Mercadona
Patatas con allioli,Hacendado,Tarrina,250 g,"1,55 €",Mercadona
Untapán de cangrejo,Hacendado,Tarrina,250 g,"2,00 €",Mercadona
Hummus de garbanzos  receta clásica,Hacendado,Tarrina,240 g,"1,10 €",Mercadona
Hummus de garbanzos  con pimiento del piquillo asado,Hacendado,Tarrina,240 g,"1,45 €",Mercadona
Hummus de garbanzos  con olivas de kalamata,Hacendado,Tarrina,240 g,"1,45 €",Mercadona
Tofu firme Frias,Hacendado,Paquete,400 g (275 g escurrido),"1,90 €",Mercadona
Tabulé oriental,Hacendado,Tarrina,250 g,"1,50 €",Mercadona
Pastel de atún,Hacendado,Bandeja,260 g,"2,90 €",Mercadona
Tsatsiki,Hacendado,Tarrina,220 g,"1,90 €",Mercadona
Sándwich pollo y queso,Hacendado,Paquete,185 g,"1,85 €",Mercadona
Sándwich atún y huevo,Hacendado,Paquete,185 g,"1,80 €",Mercadona
Sándwiches jamón y queso,Hacendado,Paquete,4 ud. (480 g),"2,80 €",Mercadona
